threshold,precision,recall,f1,tp,fp,fn
0.100062,0.4370609721831975,0.852796052631579,0.577930522013747,3111,4007,537
0.198996,0.530281182408075,0.8064692982456141,0.6398434101783383,2942,2606,706
0.29793000000000003,0.5946528676153514,0.7560307017543859,0.6657011827178373,2758,1880,890
0.396864,0.6518331226295828,0.7066885964912281,0.6781533605155858,2578,1377,1070
0.495798,0.6988304093567251,0.6551535087719298,0.6762874929258631,2390,1030,1258
0.594732,0.7390572390572391,0.6016995614035088,0.6633423995164702,2195,775,1453
0.693666,0.7807228915662651,0.5328947368421053,0.6334310850439883,1944,546,1704
0.7926000000000001,0.8199273482096523,0.4331140350877193,0.5668161434977578,1580,347,2068
0.891534,0.8774671052631579,0.2924890350877193,0.43873355263157887,1067,149,2581
0.990468,1.0,0.00027412280701754384,0.0005480953685941353,1,0,3647
