threshold,precision,recall,f1,tp,fp,fn
0.6597967027027027,0.7614575507137491,0.5556469298245614,0.6424722662440571,2027,635,1621
0.660688,0.7617613850207,0.5548245614035088,0.64203013481364,2024,633,1624
0.6615792972972973,0.762532981530343,0.5545504385964912,0.6421202983653388,2023,630,1625
0.6624705945945946,0.7633270321361059,0.553453947368421,0.6416653424439853,2019,626,1629
0.6633618918918919,0.7635262958758986,0.5531798245614035,0.6415514226673025,2018,625,1630
0.6642531891891892,0.7638362395754359,0.5523574561403509,0.6411072223989819,2015,623,1633
0.6651444864864865,0.7640577507598785,0.5512609649122807,0.6404458598726114,2011,621,1637
0.6660357837837838,0.7642802741812643,0.5501644736842105,0.6397832323876315,2007,619,1641
0.6669270810810811,0.7648628048780488,0.5501644736842105,0.6399872448979592,2007,617,1641
0.6678183783783784,0.7650878533231474,0.5490679824561403,0.6393233322693903,2003,615,1645
0.6687096756756756,0.765380206343141,0.5490679824561403,0.6394253790901836,2003,614,1645
0.6696009729729729,0.7650210486031381,0.5479714912280702,0.6385561411915031,1999,614,1649
0.6704922702702703,0.7655172413793103,0.5476973684210527,0.638542665388303,1998,612,1650
0.6713835675675676,0.766398158803222,0.5476973684210527,0.6388489208633094,1998,609,1650
0.6722748648648649,0.7678983833718245,0.546875,0.6388088376560999,1995,603,1653
0.6731661621621622,0.7677195685670262,0.5463267543859649,0.6383728379244074,1993,603,1655
0.6740574594594595,0.7676572751833269,0.5452302631578947,0.6376021798365121,1989,602,1659
0.6749487567567568,0.7687838884585593,0.5441337719298246,0.637239165329053,1985,597,1663
0.6758400540540541,0.7692904226444358,0.543859649122807,0.6372249879556768,1984,595,1664
0.6767313513513513,0.7705173084402956,0.5430372807017544,0.6370799163852708,1981,590,1667
0.6776226486486486,0.7711500974658869,0.5422149122807017,0.6367294382745856,1978,587,1670
0.6785139459459459,0.7713616855247757,0.5419407894736842,0.6366124617613911,1977,586,1671
0.6794052432432433,0.771875,0.5416666666666666,0.6365979381443299,1976,584,1672
0.6802965405405406,0.77238951896754,0.5413925438596491,0.636583400483481,1975,582,1673
