threshold,precision,recall,f1,tp,fp,fn
0.1,0.4370609721831975,0.852796052631579,0.577930522013747,3111,4007,537
0.10090090090090091,0.43804562095184457,0.852796052631579,0.5787906976744186,3111,3991,537
0.1018018018018018,0.43903471634208296,0.852796052631579,0.5796534376746786,3111,3975,537
0.10270270270270271,0.4404643919014583,0.852796052631579,0.5808981420969097,3111,3952,537
0.10360360360360361,0.44169862235477914,0.8525219298245614,0.581906632987183,3110,3931,538
0.1045045045045045,0.4425156516789983,0.8525219298245614,0.5826152116897715,3110,3918,538
0.10540540540540541,0.44366699985720404,0.8516995614035088,0.5834193972396958,3107,3896,541
0.10630630630630632,0.4449377058570815,0.8516995614035088,0.5845169786473522,3107,3876,541
0.10720720720720721,0.4459770114942529,0.8508771929824561,0.5852187028657616,3104,3856,544
0.10810810810810811,0.44673193204722145,0.8506030701754386,0.585803284878233,3103,3843,545
0.10900900900900902,0.4482011270047681,0.850328947368421,0.5869997161510077,3102,3819,546
0.10990990990990991,0.4491095989575793,0.850328947368421,0.5877783041212696,3102,3805,546
0.11081081081081082,0.45015983725661146,0.8492324561403509,0.5884140550807218,3098,3784,550
0.11171171171171172,0.45077191960384505,0.8484100877192983,0.5887388244245768,3095,3771,553
0.11261261261261261,0.451848604413269,0.8475877192982456,0.5894576303498237,3092,3751,556
0.11351351351351352,0.45274725274725275,0.8470394736842105,0.5900887997708393,3090,3735,558
0.11441441441441443,0.454037358435064,0.8462171052631579,0.5909830573370345,3087,3712,561
0.11531531531531532,0.4551622418879056,0.8459429824561403,0.59186804756425,3086,3694,562
0.11621621621621622,0.4562259686483289,0.8456688596491229,0.5926993275696445,3085,3677,563
0.11711711711711711,0.45722757598220903,0.8453947368421053,0.5934763783315693,3084,3661,564
0.11801801801801802,0.4585627138818628,0.8448464912280702,0.5944642684926222,3082,3639,566
0.11891891891891893,0.45931445603576754,0.8448464912280702,0.5950955782969685,3082,3628,566
0.11981981981981982,0.4604692871020774,0.8445723684210527,0.5959957442692717,3081,3610,567
0.12072072072072072,0.46127340823970037,0.8440241228070176,0.5965320158868547,3079,3596,569
0.12162162162162163,0.4624286143672979,0.8434758771929824,0.5973597359735973,3077,3577,571
0.12252252252252252,0.46338155515370705,0.8429276315789473,0.5980163360560093,3075,3561,573
0.12342342342342343,0.4644800483675937,0.8423793859649122,0.5987918939984411,3073,3543,575
0.12432432432432433,0.46565579984836997,0.8418311403508771,0.5996290149370301,3071,3524,577
0.12522522522522522,0.46677816633723584,0.8415570175438597,0.6004889975550123,3070,3507,578
0.12612612612612614,0.4677542308278701,0.8410087719298246,0.6011560693641619,3068,3491,580
0.12702702702702703,0.46866401712014677,0.8404605263157895,0.601766437684004,3066,3476,582
0.12792792792792793,0.469478527607362,0.8390899122807017,0.6020849724626279,3061,3459,587
0.12882882882882885,0.470181371042115,0.8385416666666666,0.6025211739216073,3059,3447,589
0.12972972972972974,0.47066071153549977,0.8377192982456141,0.6027019031653683,3056,3437,592
0.13063063063063063,0.471141975308642,0.8368969298245614,0.6028830963665087,3053,3427,595
0.13153153153153152,0.47194311330963057,0.8368969298245614,0.6035385983987349,3053,3416,595
0.13243243243243244,0.47303161810291383,0.8366228070175439,0.6043564356435644,3052,3400,596
0.13333333333333333,0.47391304347826085,0.8366228070175439,0.6050753370341,3052,3388,596
0.13423423423423425,0.47529998441639393,0.8360745614035088,0.6060606060606061,3050,3367,598
0.13513513513513514,0.4761830392003748,0.8358004385964912,0.6067058004178689,3049,3354,599
0.13603603603603603,0.47751840827197245,0.8355263157894737,0.6077160801515303,3048,3335,600
0.13693693693693693,0.47826769182488627,0.8355263157894737,0.6083225227023251,3048,3325,600
0.13783783783783785,0.478629792583281,0.8349780701754386,0.6084698361965641,3046,3318,602
0.13873873873873874,0.4796850393700787,0.8349780701754386,0.6093218643728746,3046,3304,602
0.13963963963963966,0.48089071383449145,0.834703947368421,0.6102204408817635,3045,3287,603
0.14054054054054055,0.48134092346616064,0.8344298245614035,0.6105094263939029,3044,3280,604
0.14144144144144144,0.48200412240367846,0.8333333333333334,0.610748367654445,3040,3267,608
0.14234234234234233,0.4829175274114095,0.8330592105263158,0.6114073030882206,3039,3254,609
